yardline_100,ydstogo,decision,prob
24,3,field_goal,0.8
24,3,go_for_it,0.2
24,4,field_goal,0.84375
24,4,go_for_it,0.15625
24,5,field_goal,0.9142857142857143
24,5,go_for_it,0.08571428571428572
24,6,field_goal,0.8695652173913043
24,6,go_for_it,0.13043478260869565
24,7,field_goal,0.8148148148148148
24,7,go_for_it,0.18518518518518517
24,8,field_goal,0.8275862068965517
24,8,go_for_it,0.1724137931034483
24,9,field_goal,0.782608695652174
24,9,go_for_it,0.21739130434782608
24,10,field_goal,0.6666666666666666
24,10,go_for_it,0.3333333333333333
24,11,field_goal,0.7272727272727273
24,11,go_for_it,0.2727272727272727
24,12,field_goal,0.8333333333333334
24,12,go_for_it,0.16666666666666666
24,13,field_goal,1
24,14,field_goal,1
24,15,field_goal,1
24,16,field_goal,1
24,17,field_goal,0.8888888888888888
24,17,go_for_it,0.1111111111111111
24,18,field_goal,1
24,19,field_goal,1
24,20,field_goal,1
24,21,field_goal,1
24,22,field_goal,1
24,23,field_goal,1
24,24,field_goal,1
25,1,field_goal,0.22641509433962265
25,1,go_for_it,0.7735849056603774
25,2,field_goal,0.6744186046511628
25,2,go_for_it,0.32558139534883723
25,3,field_goal,0.6060606060606061
25,3,go_for_it,0.3939393939393939
25,4,field_goal,0.7837837837837838
25,4,go_for_it,0.21621621621621623
25,5,field_goal,0.7948717948717948
25,5,go_for_it,0.20512820512820512
25,6,field_goal,0.8928571428571429
25,6,go_for_it,0.10714285714285714
25,7,field_goal,0.9230769230769231
25,7,go_for_it,0.07692307692307693
25,8,field_goal,0.9259259259259259
25,8,go_for_it,0.07407407407407407
25,9,field_goal,0.9473684210526315
25,9,go_for_it,0.05263157894736842
25,10,field_goal,0.90625
25,10,go_for_it,0.09375
25,11,field_goal,0.8
25,11,go_for_it,0.2
25,12,field_goal,0.875
25,12,go_for_it,0.125
25,13,field_goal,0.8666666666666667
25,13,go_for_it,0.13333333333333333
25,14,field_goal,0.8333333333333334
25,14,go_for_it,0.16666666666666666
25,15,field_goal,1
25,16,field_goal,1
25,17,field_goal,1
25,18,field_goal,0.5
25,18,go_for_it,0.5
25,19,field_goal,1
25,20,field_goal,1
25,21,field_goal,1
25,22,go_for_it,1
25,23,field_goal,1
25,24,field_goal,1
25,25,field_goal,0.5
25,25,go_for_it,0.5
26,1,field_goal,0.3181818181818182
26,1,go_for_it,0.6818181818181818
26,2,field_goal,0.5666666666666667
26,2,go_for_it,0.43333333333333335
26,3,field_goal,0.7142857142857143
26,3,go_for_it,0.2857142857142857
26,4,field_goal,0.8148148148148148
26,4,go_for_it,0.18518518518518517
26,5,field_goal,0.84375
26,5,go_for_it,0.15625
26,6,field_goal,0.8947368421052632
26,6,go_for_it,0.10526315789473684
26,7,field_goal,0.967741935483871
26,7,go_for_it,0.03225806451612903
26,8,field_goal,1
26,9,field_goal,0.9230769230769231
26,9,go_for_it,0.07692307692307693
26,10,field_goal,0.6551724137931034
26,10,go_for_it,0.3448275862068966
26,11,field_goal,0.9
26,11,go_for_it,0.1
26,12,field_goal,0.8947368421052632
26,12,go_for_it,0.10526315789473684
26,13,field_goal,1
26,14,field_goal,0.8
26,14,go_for_it,0.2
26,15,field_goal,0.9090909090909091
26,15,go_for_it,0.09090909090909091
26,16,field_goal,1
26,17,field_goal,1
26,18,field_goal,1
26,19,field_goal,1
26,20,field_goal,1
26,21,field_goal,1
26,22,field_goal,0.5
26,22,go_for_it,0.5
26,23,field_goal,1
26,26,field_goal,1
27,1,field_goal,0.24074074074074073
27,1,go_for_it,0.7592592592592593
27,2,field_goal,0.5428571428571428
27,2,go_for_it,0.45714285714285713
27,3,field_goal,0.875
27,3,go_for_it,0.125
27,4,field_goal,0.875
27,4,go_for_it,0.125
27,5,field_goal,0.782608695652174
27,5,go_for_it,0.21739130434782608
27,6,field_goal,0.9642857142857143
27,6,go_for_it,0.03571428571428571
27,7,field_goal,0.9285714285714286
27,7,go_for_it,0.07142857142857142
27,8,field_goal,0.8378378378378378
27,8,go_for_it,0.16216216216216217
27,9,field_goal,0.9047619047619048
27,9,go_for_it,0.09523809523809523
27,10,field_goal,0.8076923076923077
27,10,go_for_it,0.19230769230769232
27,11,field_goal,0.9411764705882353
27,11,go_for_it,0.058823529411764705
27,12,field_goal,0.9444444444444444
27,12,go_for_it,0.05555555555555555
27,13,field_goal,0.7272727272727273
27,13,go_for_it,0.2727272727272727
27,14,field_goal,0.6666666666666666
27,14,go_for_it,0.3333333333333333
27,15,field_goal,1
27,16,field_goal,0.8333333333333334
27,16,go_for_it,0.16666666666666666
27,17,field_goal,1
27,18,field_goal,1
27,19,field_goal,0.75
27,19,go_for_it,0.25
27,20,field_goal,0.8
27,20,go_for_it,0.2
27,21,field_goal,0.8
27,21,go_for_it,0.2
27,22,field_goal,1
27,23,field_goal,0.5
27,23,go_for_it,0.5
27,25,field_goal,1
27,26,go_for_it,1
27,27,field_goal,1
28,1,field_goal,0.2
28,1,go_for_it,0.8
28,2,field_goal,0.5227272727272727
28,2,go_for_it,0.4772727272727273
28,3,field_goal,0.6774193548387096
28,3,go_for_it,0.3225806451612903
28,4,field_goal,0.7073170731707317
28,4,go_for_it,0.2682926829268293
28,4,punt,0.024390243902439025
28,5,field_goal,0.8888888888888888
28,5,go_for_it,0.1111111111111111
28,6,field_goal,0.8529411764705882
28,6,go_for_it,0.14705882352941177
28,7,field_goal,0.8611111111111112
28,7,go_for_it,0.1388888888888889
28,8,field_goal,0.8846153846153846
28,8,go_for_it,0.11538461538461539
28,9,field_goal,0.9565217391304348
28,9,go_for_it,0.043478260869565216
28,10,field_goal,0.75
28,10,go_for_it,0.25
28,11,field_goal,0.8888888888888888
28,11,go_for_it,0.1111111111111111
28,12,field_goal,0.8
28,12,go_for_it,0.2
28,13,field_goal,0.6666666666666666
28,13,go_for_it,0.3333333333333333
28,14,field_goal,0.8
28,14,go_for_it,0.2
28,15,field_goal,1
28,16,field_goal,1
28,17,field_goal,0.8
28,17,go_for_it,0.2
28,18,field_goal,0.8333333333333334
28,18,go_for_it,0.16666666666666666
28,19,field_goal,1
28,20,field_goal,0.6666666666666666
28,20,go_for_it,0.3333333333333333
28,21,field_goal,1
28,22,field_goal,0.75
28,22,go_for_it,0.25
28,23,field_goal,1
28,25,field_goal,1
28,28,field_goal,1
29,1,field_goal,0.2916666666666667
29,1,go_for_it,0.7083333333333334
29,2,field_goal,0.5526315789473685
29,2,go_for_it,0.4473684210526316
29,3,field_goal,0.8918918918918919
29,3,go_for_it,0.10810810810810811
29,4,field_goal,0.6956521739130435
29,4,go_for_it,0.30434782608695654
29,5,field_goal,0.75
29,5,go_for_it,0.25
29,6,field_goal,0.7666666666666667
29,6,go_for_it,0.23333333333333334
29,7,field_goal,0.7
29,7,go_for_it,0.3
29,8,field_goal,0.8571428571428571
29,8,go_for_it,0.14285714285714285
29,9,field_goal,0.8421052631578947
29,9,go_for_it,0.15789473684210525
29,10,field_goal,0.868421052631579
29,10,go_for_it,0.13157894736842105
29,11,field_goal,0.7647058823529411
29,11,go_for_it,0.23529411764705882
29,12,field_goal,0.7692307692307693
29,12,go_for_it,0.23076923076923078
29,13,field_goal,1
29,14,field_goal,1
29,15,field_goal,1
29,16,field_goal,1
29,17,field_goal,0.75
29,17,go_for_it,0.25
29,18,field_goal,1
29,19,field_goal,1
29,20,field_goal,1
29,22,field_goal,1
29,24,field_goal,1
29,25,field_goal,1
29,27,field_goal,1
29,28,field_goal,1
29,29,field_goal,1
30,1,field_goal,0.2
30,1,go_for_it,0.8
30,2,field_goal,0.6097560975609756
30,2,go_for_it,0.3902439024390244
30,3,field_goal,0.7619047619047619
30,3,go_for_it,0.23809523809523808
30,4,field_goal,0.7317073170731707
30,4,go_for_it,0.2682926829268293
30,5,field_goal,0.8536585365853658
30,5,go_for_it,0.14634146341463414
30,6,field_goal,0.9318181818181818
30,6,go_for_it,0.06818181818181818
30,7,field_goal,0.8484848484848485
30,7,go_for_it,0.15151515151515152
30,8,field_goal,0.8461538461538461
30,8,go_for_it,0.15384615384615385
30,9,field_goal,0.9333333333333333
30,9,go_for_it,0.06666666666666667
30,10,field_goal,0.8378378378378378
30,10,go_for_it,0.16216216216216217
30,11,field_goal,0.875
30,11,go_for_it,0.0625
30,11,punt,0.0625
30,12,field_goal,0.9166666666666666
30,12,go_for_it,0.08333333333333333
30,13,field_goal,0.5454545454545454
30,13,go_for_it,0.36363636363636365
30,13,punt,0.09090909090909091
30,14,field_goal,0.9
30,14,go_for_it,0.1
30,15,field_goal,0.9230769230769231
30,15,go_for_it,0.07692307692307693
30,16,field_goal,0.9
30,16,go_for_it,0.1
30,17,field_goal,1
30,18,field_goal,1
30,19,field_goal,1
30,20,field_goal,0.875
30,20,go_for_it,0.125
30,21,field_goal,1
30,22,field_goal,1
30,23,field_goal,0.5
30,23,go_for_it,0.5
30,24,field_goal,0.6666666666666666
